departamento_id,nombre,provincia_id
63,san pedro,38
14,bermejo,22
749,san fernando,6
35,general pedernera,74
371,general san martín,6
77,santa catalina,38
42,empedrado,18
49,general güemes,66
14,formosa,34
105,loreto,86
126,25 de mayo,70
14,angaco,70
252,escobar,6
77,nogoyá,30
42,chimbas,70
126,saladas,18
49,iglesia,70
49,gastre,26
63,loncopué,58
56,lavalle,50
119,tunuyán,50
210,chacabuco,6
840,tres de febrero,6
357,general pueyrredón,6
133,pellegrini,86
112,rosario vera peñaloza,46
168,totoral,14
28,chacabuco,74
7,adolfo alsina,62
8,comuna 8,2
63,lules,90
854,25 de mayo,6
14,ushuaia,94
875,villarino,6
84,general ocampo,46
770,san pedro,6
14,cruz alta,90
7,almirante brown,22
14,añelo,58
42,general roca,62
91,simoca,90
98,santa lucía,70
70,la paz,10
700,saavedra,6
175,sauce,18
455,las flores,6
133,vera,82
77,paclín,10
126,san alberto,14
833,tres arroyos,6
126,rancul,42
728,san andrés de giles,6
42,la paz ,50
287,general alvear,6
56,chapaleufú,42
56,general angel v. peñaloza,46
161,carmen de areco,6
462,leandro n. alem,6
35,lago buenos aires,78
798,tapalqué,6
84,lihuel calel,42
266,exaltación de la cruz,6
119,brandsen,6
63,pichi mahuida,62
28,matacos,34
70,independencia,22
322,general la madrid,6
133,zonda,70
742,san cayetano,6
77,hucal,42
70,leandro n. alem,54
63,fray mamerto esquiú,10
56,guaraní,54
1,comuna 1,2
7,biedma,26
658,quilmes,6
63,guachipas,66
14,belgrano,74
665,ramallo,6
98,mayor luis j. fontana,22
260,esteban echeverría,6
126,orán,66
35,avellaneda,6
270,ezeiza,6
133,san cosme,18
14,deseado,78
7,anta,66
7,calamuchita,14
98,río cuarto,14
35,ledesma,38
791,tandil,6
427,la matanza,6
14,comuna 14,2
224,chivilcoy,6
568,morón,6
98,uruguay,30
147,río hondo,86
49,famatina ,46
28,humahuaca,38
560,moreno,6
112,puelén,42
56,languiñeo,26
119,yerba buena,90
119,paso de los libres,18
778,san vicente,6
42,feliciano,30
7,belgrano,82
574,navarro,6
651,puán,6
784,suipacha,6
35,garay,82
105,san jerónimo,82
819,tornquist,6
655,punta indio,6
245,ensenada,6
364,general rodríguez,6
35,patiño,34
42,pilagás,34
648,presidente perón,6
98,tehuelches,26
49,9 de julio,62
735,san antonio de areco,6
63,chical co,42
672,rauch,6
466,lezama,6
0,comuna 1,2
21,candelaria,54
28,antofagasta de la sierra,10
35,futaleufú,26
112,san pedro,54
70,baradero,6
140,san fernando,22
35,confluencia,58
28,capital,66
35,cerrillos ,66
119,quemú quemú,42
56,lácar,58
861,vicente lópez,6
91,berazategui,6
105,sarmiento,70
35,banda,86
105,victoria,30
49,capital,10
21,calingasta,70
14,capital,14
147,rosario de lerma,66
42,chos malal,58
15,concordia,30
49,las heras,50
49,rinconada,38
161,santa victoria,66
84,paraná,30
11,comuna 11,2
7,corpen aike,78
119,río segundo,14
581,necochea,6
112,mitre,86
14,general alvear,50
35,junín,50
693,roque pérez,6
707,saladillo,6
35,chamical ,46
175,tulumba,14
4,comuna 4,2
6,comuna 6,2
7,atreucó,42
7,aluminé,58
